strategy,test_loss,test_accuracy
Constant,2.3010498523712157,11.35
Linear,0.099264694750309,96.92
LinearUniformMix,0.09406022392213345,96.87
Exponential,0.09971810504794121,96.95
Cyclic,0.10574744194746018,96.73
Random,0.20363179370760917,94.84
