scheduler,mean_k,std_k,k_range,k_progression,stability,coverage
Constant,0.0,0.0,0,0,1.0,0.09090909090909091
Linear,4.95,2.9383393922143144,10,10,0.25391412481537157,1.0
LinearUniformMix,3.19327731092437,2.5763666600615918,10,10,0.279613388405421,1.0
Exponential,2.66,2.701365161797592,9,9,0.27017058741492656,0.9090909090909091
Cyclic,5.05,3.608001769356105,10,-10,0.21701380556104563,1.0
Random,5.0,3.163716039892598,10,10,0.24017007654196193,1.0
