epsilon_config,mean_k,std_k,k_range,mean_epsilon
constant_small,3.19327731092437,2.5763666600615918,10,0.1
constant_medium,3.19327731092437,2.5763666600615918,10,0.29999999999999993
constant_large,3.19327731092437,2.5763666600615918,10,0.5
linear,3.19327731092437,2.5763666600615918,10,0.3544537815126051
cyclic,3.19327731092437,2.5763666600615918,10,0.23345626802646116
random,3.19327731092437,2.5763666600615918,10,0.3011812389453102
